교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통);,지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통);,공사형태 (공통);,지도표출구분,X좌표,Y좌표,위도,경도
1370,,남강중,1,0.0,620.0,598-139대,290.0,290.0,1,2,,,,1.0,105.0,82-0000002379,,2069342.0,2379,10200.0,,N,192858.919631557,541458.65281248,37.47253248194785,126.9192713612191
1371,,관악우림시장,1,0.0,620.0,1678-14대,290.0,290.0,1,2,,,,1.0,105.0,82-0000002058,,2068483.0,2058,10200.0,,N,192923.601626295,541182.201633274,37.47004212749138,126.9200052334776
1372,,영광교회,1,0.0,620.0,639-11도,290.0,290.0,1,2,,,,1.0,105.0,82-0000002899,,2068512.0,2899,10200.0,,N,192966.559859187,540844.193546573,37.46699696834894,126.9204940775331
1374,,봉림교(연등)2,1,1215.0,620.0,1472-4전,290.0,290.0,1,1,,,,2.0,105.0,82-0000001800,,,1800,10200.0,,N,193295.550966417,542880.907846794,37.48535039067244,126.9241944527312
1375,,창대카센터,2,0.0,620.0,1448-1대,290.0,290.0,1,2,,,,1.0,105.0,82-0000003501,,2172051.0,3501,10200.0,,N,193187.64223412,543007.415960223,37.48648944908769,126.9229731861183
1376,,은천교회,1,0.0,620.0,395-61도,290.0,290.0,1,2,,,,1.0,105.0,82-0000004837,,2162882.0,4837,10200.0,,N,193097.114268821,543181.753182006,37.48805956829678,126.9219479598807
8892,,가산어반워크,2,,540.0,459-16도,260.0,260.0,1,2,,,,2.0,105.0,82-0000008562,,1191211.0,8562,10100.0,,N,,,,
1377,,주생빌딩(연등),1,1378.0,620.0,395공,290.0,290.0,1,2,,,,1.0,105.0,82-0000002380,,2163212.0,2380,10200.0,,N,192794.48884359,543337.253923955,37.48945833060233,126.9185246068956
1378,,주생빌딩,1,0.0,620.0,395공,290.0,290.0,1,2,,,,1.0,105.0,82-0000004886,,2153902.0,4886,10200.0,,N,192654.023014479,543298.734927174,37.48911016580773,126.9169366933593
1379,,한양빌딩앞,1,0.0,620.0,,290.0,290.0,1,2,,,,1.0,105.0,82-0000001041,,2152682.0,1041,10200.0,,N,192487.33044838,543177.332692664,37.48801498311762,126.9150530878213
1380,,신사동주민센터앞,3,0.0,620.0,499-38대,290.0,290.0,1,2,,,,1.0,105.0,82-0000002395,,2152412.0,2395,10200.0,,N,192390.98890151,542827.50476502,37.48486222010489,126.9139673548335
1381,,신림현대아파트앞(연등)1,1,1382.0,620.0,520 도,260.0,260.0,1,2,,,,1.0,105.0,82-0000003959,,2142832.0,3959,10200.0,,N,192096.540216509,542918.056503691,37.48567562671129,126.9106371499605
