시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,반경500m_사고지점수,반경500m_사고건수합계
학원,오르다샘앤클래스암사학원,서울특별시 강동구 올림픽로 104길 36,서울특별시 강동구 암사3동 442-1,37.5554739,127.1316805,서울특별시 강동구청,강동경찰서,Y,2,6,2023-08-18,3240000,서울특별시 강동구,9,33
학원,예크트리학원,서울특별시 강동구 천호대로187길 73-10,서울특별시 강동구 길동 399-4,37.5378116,127.1427154,서울특별시 강동구청,강동경찰서,Y,1,6,2023-08-18,3240000,서울특별시 강동구,12,57
어린이집,구립다온어린이집,서울특별시 강동구 올림픽로79길 46,서울특별시 강동구 천호동 331-31,37.5447848,127.1232029,서울특별시 강동구청,강동경찰서,Y,2,5~8,2023-08-18,3240000,서울특별시 강동구,9,57
어린이집,구립고덕숲어린이집,서울특별시 강동구 고덕로80길 134,서울특별시 강동구 상일동 515,37.55171846,127.164857,서울특별시 강동구청,강동경찰서,Y,1,7~11,2023-08-18,3240000,서울특별시 강동구,3,15
어린이집,구립해나어린이집,서울특별시 강동구 아리수로 46-14,서울특별시 강동구 암사동 445-11,37.55586966,127.1347874,서울특별시 강동구청,강동경찰서,Y,1,3,2023-08-18,3240000,서울특별시 강동구,9,33
어린이집,성내참사랑어린이집,서울특별시 강동구 성내로18길 19,서울특별시 강동구 성내동 435-26,37.52601922,127.1291451,서울특별시 강동구청,강동경찰서,Y,1,15,2023-08-18,3240000,서울특별시 강동구,9,42
어린이집,구립은강어린이집,서울특별시 강동구 양재대로103길 28,서울특별시 강동구 성내동 378-9,37.5333784,127.1363923,서울특별시 강동구청,강동경찰서,Y,1,8,2023-08-18,3240000,서울특별시 강동구,33,165
어린이집,구립동심어린이집,서울특별시 강동구 고덕로27길 33-19,서울특별시 강동구 암사동 450-24,37.5561083,127.1373773,서울특별시 강동구청,강동경찰서,Y,2,5,2023-08-18,3240000,서울특별시 강동구,3,12
어린이집,예꿈어린이집,서울특별시 강동구 상암로 89,서울특별시 강동구 암사동 490-39,37.54793943,127.1329509,서울특별시 강동구청,강동경찰서,Y,2,15,2023-08-18,3240000,서울특별시 강동구,12,51
어린이집,푸른숲어린이집,서울특별시 강동구 동남로67길 42,서울특별시 강동구 명일2동 248-4,37.5488256,127.1535042,서울특별시 강동구청,강동경찰서,Y,2,6,2023-08-18,3240000,서울특별시 강동구,6,21
어린이집,강동무지개어린이집,서울특별시 강동구 양재대로125길 30,서울특별시 강동구 천호동 43-22,37.54460484,127.1406641,서울특별시 강동구청,강동경찰서,Y,3,6,2023-08-18,3240000,서울특별시 강동구,15,63
